index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,inference_time_seconds,human_or_machine,error_type,error
34,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,By how much is 2 persons higher than that of 1 person?,34960,"34,960",34960,34960,1,1,0.37916987699998117,0,,
35,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much did the sales of cat treats amount to in 2010?,0.45,0.4 billion U.S. dollars,0.45,0.4 billion u s dollars,1,1,0.45022365199997694,1,,
36,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many reals would come from the city government's budget?,42,42 million Brazilian reals,42,42 million brazilian reals,1,1,0.3857553799999778,1,,
37,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was Nigeria's male population in 2019?,101.83,101.83 million,101.83,101.83 million,1,1,0.4222968779999974,1,,
38,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which colored segment occupies more than half the pie chart?,blue,Blue,blue,blue,1,0,0.20458279599995421,0,,
39,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Who says Good more to the question?,General public,General public,general public,general public,1,0,0.1846999560000313,0,,
40,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the average transaction value in grocers in prior weeks?,49,49,49,49,1,1,0.24053244800006723,1,,
41,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,"How much did accounts with 1,000 to 10,000 followers increase their followers on average?",12.6,12.6%,12.6,12.6%,1,1,0.3564538079999693,1,,
42,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,In what year did the turnover of the retail sale of leisure products increase to 6.7 billion British pounds?,2017,2017,2017,2017,1,1,0.3237319690000504,1,,
43,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What percentage of all underlying attributable profit for Banco Santander is attributed to South America?,42,42%,42,42%,1,1,0.2778213799999776,1,,
44,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much money was generated by sports equipment retailing in Austria in 2015?,1841.1,"1,841.1 million euros",1841.1,1841.1 million euros,1,1,0.4814111519999642,1,,
45,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What age group does the Red bar Show in the graph?,15-17 years,15-17 years,15-17 years,15-17 years,1,1,0.3976267309999457,0,,
46,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Who has hit the most home runs in Chicago White Sox franchise history?,Frank Thomas,Frank Thomas,frank thomas,frank thomas,1,0,0.2386547830000154,1,,
47,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which beer brand topped the beer production volume in Germany in 2016?,Krombacher,Krombacher,krombacher,krombacher,1,0,0.3527393139999049,1,,
48,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Who has the most hits in Detroit Tigers franchise history?,Ty Cobb,Ty Cobb,ty cobb,ty cobb,1,0,0.2390239000000065,1,,
49,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the difference between maximum number of Gucci stores operated in Emerging Countries over the years and minimum number of stores operated in Western Europe over the years?,123,420,123,420,0,0,0.2821270149999009,0,,
50,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many Instagram users were there in South Africa as of April 2021?,5.79,5.79 million,5.79,5.79 million,1,1,0.34544251500005885,1,,
51,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the value of middle bar ?,81.71,81.71%,81.71,81.71%,1,1,0.4012999650000211,0,,
52,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,When was the last fiscal year of ServiceMaster Global Holdings?,2014,2019,2014,2019,1,1,0.30968537500007187,1,,
53,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which country is represented by the blue color line?,Russia,Russia,russia,russia,1,0,0.2252701290000232,0,,
54,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many children were adopted in Norway in 2019?,332,332,332,332,1,1,0.2720952000000807,1,,
55,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the maximum Yes opinion minus the mode of Don't know opinion,35,46,35,46,0,0,0.23782670900004632,0,,
56,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,In what year is the Middle East expected to become an LNG consumer?,2021,2021,2021,2021,1,1,0.3109242240000185,1,,
57,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,"In which year, the value of the red graph peaked?",2009,2009,2009,2009,1,1,0.3303773420000198,0,,
58,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which gender has the highest life expectancy?,female,female,female,female,1,0,0.20232544199996028,0,,
59,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much was Armani Junior's worldwide sales in 2008?,47.9,50 million euros,47.9,50 million euros,1,1,0.30770783399998436,1,,
60,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many number of golfers are there in 2016?,463952,463952,463952,463952,1,1,0.3778818810000075,0,,
61,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many people worked in China's travel and tourism industry in 2019?,29089,"29,089",29089,29089,1,1,0.3806243850000328,1,,
62,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which color represents Republican?,Red,Red,red,red,1,0,0.14854635400001825,0,,
63,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,what is orange bar represents ?,Europe,Europe,europe,europe,1,0,0.2250730210000711,0,,
64,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much British pounds worth of goods and services did the UK export to the EU in 2015?,225.5,225.5 billion GBP,225.5,225.5 billion gbp,1,1,0.42013617100008105,1,,
65,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the value of Very opinion in Aug 2016?,49,49,49,49,1,1,0.17800578800006406,0,,
66,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the previous year's EBITDA?,5.08,5.08 billion euros,5.08,5.08 billion euros,1,1,0.38536204000001817,1,,
67,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which region the females value shows 10.4 and males value as 3.8?,London,London,london,london,1,0,0.21132197400004316,0,,
68,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the percentage of households with Stand-alone air conditioning in Canada in 2015?,18,18%,18,18%,1,1,0.28328211699999883,0,,
69,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the average ticket price for Baltimore Ravens games in 2020?,110.53,110.53,110.53,110.53,1,1,0.3790659669999741,1,,
70,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is Google's market share in India?,95.45,95.45%,95.45,95.45%,1,1,0.46580025100001876,1,,
71,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the worldwide revenue of Canada Goose in the 2020 financial year?,958.1,958.1 million Canadian dollars,958.1,958.1 million canadian dollars,1,1,0.45451546100002815,1,,
72,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the estimated market value of edible insects in 2018?,406.32,406.32 million U.S. dollars,406.32,406.32 million u s dollars,1,1,0.5500719450000133,1,,
73,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many dollars does Guatemala spend each year?,3.73,4.02 billion U.S. dollars,3.73,4.02 billion u s dollars,0,0,0.489555375000009,1,,
74,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many Swedish kronor were intended expenses for Christmas in 2018?,5860,"5,860 SEK",5860,5860 sek,1,1,0.4115082449999363,1,,
75,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the infant mortality rate in Bahrain in 2019?,5.9,5.9,5.9,5.9,1,1,0.27158378700005414,1,,
76,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much money did Universal spend on '1917'?,10.41,10.41 million U.S. dollars,10.41,10.41 million u s dollars,1,1,0.5226978420000705,1,,
77,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the sum of the people of Boomers and Generation X who have used this service?,22,26%,22,26%,0,0,0.2786193160000039,0,,
78,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,what is the sum of the high school  that have been bullied in lifetime Both male and female,72.8,72.8%,72.8,72.8%,1,1,0.34526842200000374,0,,
79,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What country had the world's largest potash reserves in 2019?,Canada,Canada,canada,canada,1,0,0.20179186599989407,1,,
80,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many dollars did Callaway Golf spend on research and development in 2020?,46.3,46.3 million U.S. dollars,46.3,46.3 million u s dollars,1,1,0.4806828329999462,1,,
81,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Does the sum of smallest two bar is greater then the largest bar?,No,No,no,no,1,0,0.2234439899999643,0,,
82,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What did the majority of people respond with?,Yes,Yes,yes,yes,1,0,0.21449250299997402,0,,
83,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What purpose was the third most popular?,Business and professional,Business and professional,business and professional,business and professional,1,0,0.2786680179999621,0,,
84,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the ratio of least and highest rates?,0.444444444,0.444,0.444444444,0.444,1,1,0.34507361199996467,0,,
85,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the peak value of gross written premiums in Malta in 2018?,415,415 million euros,415,415 million euros,1,1,0.3440261409999721,1,,
86,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many metric tons of greenhouse gases did Dow Chemical emit in 2005?,47,47 million metric tons,47,47 million metric tons,1,1,0.3430019249999532,1,,
87,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How many passenger cars were sold in Pakistan between July 2018 and June 2019?,207630,"207,630",207630,207630,1,1,0.4327424069999779,1,,
88,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which year represents the highest expenditure?,2028,2028,2028,2028,1,1,0.321651379000059,0,,
89,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the combined growth rate for 1m-10m and 10m+?,28.6,28.6%,28.6,28.6%,1,1,0.3513879879999422,0,,
90,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What percentage did Vanuatu's real GDP grow by in 2018?,2.9,2.9%,2.9,2.9%,1,1,0.3121797000000015,1,,
91,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What's the percentage of U.S. adults who oppose more fracking?,53,53,53,53,1,1,0.1847076349999952,0,,
92,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the most densely populated region of the world in 2018?,Asia,Asia,asia,asia,1,0,0.20455267099998764,1,,
93,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What's the value of the top rightmost bar?,7,7,7,7,1,1,0.14582599299990306,0,,
94,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What was the value of the Nashville Predators in dollars in 2020?,435,435 million U.S. dollars,435,435 million u s dollars,1,1,0.4436011029999918,1,,
95,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,What is the total percentage revenue share of the LVMH Group worldwide in 2020 from Asia and Japan?,41,41%,41,41%,1,1,0.27909099500004686,0,,
96,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,In what year did the Sun have the highest reach among selected UK newspapers?,2013,2005,2013,2005,1,1,0.3044823709999491,1,,
97,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Find the median value of all the bars?,0.68,0.68,0.68,0.68,1,1,0.3256946159999643,0,,
98,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,Which year(s) had the greatest difference between the soft drink price and hot dog price?,"[2010/11, 2011/12, 2012/13]",2010/11,"[2010/11, 2011/12, 2012/13]",2010/11,1,1,0.4068157340000198,0,,
99,phase1,updated_phase1_qwen25vl_7b_chartqa_baseline,20260722_142442,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-7B-Instruct,,val,How much money did Etsy invest in its advertising in 2016?,442.2,50 million U.S. dollars,442.2,50 million u s dollars,0,0,0.4037591750000047,1,,
