index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,inference_time_seconds,human_or_machine,error_type,error
34,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,By how much is 2 persons higher than that of 1 person?,34960,35360,34960,35360,1,1,4.131894282000076,0,,
35,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much did the sales of cat treats amount to in 2010?,0.45,0.3,0.45,0.3,0,0,4.019039281999994,1,,
36,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many reals would come from the city government's budget?,42,42,42,42,1,1,3.9979349249999814,1,,
37,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was Nigeria's male population in 2019?,101.83,101.83,101.83,101.83,1,1,4.1333989199999905,1,,
38,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which colored segment occupies more than half the pie chart?,blue,Blue,blue,blue,1,0,3.8608503540001493,0,,
39,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Who says Good more to the question?,General public,General public,general public,general public,1,0,1.8999392429998352,0,,
40,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the average transaction value in grocers in prior weeks?,49,48,49,48,1,1,3.9805736830001024,1,,
41,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,"How much did accounts with 1,000 to 10,000 followers increase their followers on average?",12.6,15.9,12.6,15.9,0,0,4.212637222000012,1,,
42,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,In what year did the turnover of the retail sale of leisure products increase to 6.7 billion British pounds?,2017,2017,2017,2017,1,1,4.29977787100006,1,,
43,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What percentage of all underlying attributable profit for Banco Santander is attributed to South America?,42,42,42,42,1,1,3.945868030999918,1,,
44,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much money was generated by sports equipment retailing in Austria in 2015?,1841.1,1841.1,1841.1,1841.1,1,1,4.093157260999988,1,,
45,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What age group does the Red bar Show in the graph?,15-17 years,15-17 years,15-17 years,15-17 years,1,1,4.556613338000034,0,,
46,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Who has hit the most home runs in Chicago White Sox franchise history?,Frank Thomas,Frank Thomas,frank thomas,frank thomas,1,0,3.974062758999935,1,,
47,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which beer brand topped the beer production volume in Germany in 2016?,Krombacher,Krombacher,krombacher,krombacher,1,0,5.242863061000207,1,,
48,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Who has the most hits in Detroit Tigers franchise history?,Ty Cobb,Ty Cobb,ty cobb,ty cobb,1,0,3.9220255739999175,1,,
49,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the difference between maximum number of Gucci stores operated in Emerging Countries over the years and minimum number of stores operated in Western Europe over the years?,123,310,123,310,0,0,4.206341414000008,0,,
50,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many Instagram users were there in South Africa as of April 2021?,5.79,5.79,5.79,5.79,1,1,4.025948616000051,1,,
51,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the value of middle bar ?,81.71,81.71,81.71,81.71,1,1,4.643786459000012,0,,
52,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,When was the last fiscal year of ServiceMaster Global Holdings?,2014,2014,2014,2014,1,1,4.1106222290000005,1,,
53,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which country is represented by the blue color line?,Russia,Russia,russia,russia,1,0,4.315095501999849,0,,
54,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many children were adopted in Norway in 2019?,332,332,332,332,1,1,4.07644710500017,1,,
55,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the maximum Yes opinion minus the mode of Don't know opinion,35,26,35,26,0,0,4.005094303000078,0,,
56,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,In what year is the Middle East expected to become an LNG consumer?,2021,2019,2021,2019,1,1,4.057647619000136,1,,
57,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,"In which year, the value of the red graph peaked?",2009,2009,2009,2009,1,1,4.488253016000044,0,,
58,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which gender has the highest life expectancy?,female,Female,female,female,1,0,3.99137564800003,0,,
59,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much was Armani Junior's worldwide sales in 2008?,47.9,39.1,47.9,39.1,0,0,4.079335147999927,1,,
60,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many number of golfers are there in 2016?,463952,463952,463952,463952,1,1,4.180528747999915,0,,
61,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many people worked in China's travel and tourism industry in 2019?,29089,29089,29089,29089,1,1,4.197089881000011,1,,
62,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which color represents Republican?,Red,Red,red,red,1,0,1.8179097459999412,0,,
63,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,what is orange bar represents ?,Europe,Europe,europe,europe,1,0,4.321950080999841,0,,
64,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much British pounds worth of goods and services did the UK export to the EU in 2015?,225.5,225.5,225.5,225.5,1,1,4.358671738000112,1,,
65,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the value of Very opinion in Aug 2016?,49,49,49,49,1,1,1.8040207890001057,0,,
66,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the previous year's EBITDA?,5.08,5.08,5.08,5.08,1,1,4.070695870000009,1,,
67,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which region the females value shows 10.4 and males value as 3.8?,London,London,london,london,1,0,4.0680993729999955,0,,
68,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the percentage of households with Stand-alone air conditioning in Canada in 2015?,18,18,18,18,1,1,4.1861799399998745,0,,
69,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the average ticket price for Baltimore Ravens games in 2020?,110.53,110.53,110.53,110.53,1,1,4.164597703000027,1,,
70,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is Google's market share in India?,95.45,95.45,95.45,95.45,1,1,6.3174623840000095,1,,
71,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the worldwide revenue of Canada Goose in the 2020 financial year?,958.1,958.1,958.1,958.1,1,1,4.1911214550000295,1,,
72,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the estimated market value of edible insects in 2018?,406.32,406.32,406.32,406.32,1,1,4.142437403000031,1,,
73,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many dollars does Guatemala spend each year?,3.73,4.02,3.73,4.02,0,0,4.036081360000026,1,,
74,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many Swedish kronor were intended expenses for Christmas in 2018?,5860,5860,5860,5860,1,1,4.08381614200016,1,,
75,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the infant mortality rate in Bahrain in 2019?,5.9,5.9,5.9,5.9,1,1,3.9597589550000976,1,,
76,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much money did Universal spend on '1917'?,10.41,10.41,10.41,10.41,1,1,4.088417811999989,1,,
77,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the sum of the people of Boomers and Generation X who have used this service?,22,26,22,26,0,0,3.9516270620001706,0,,
78,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,what is the sum of the high school  that have been bullied in lifetime Both male and female,72.8,74.8,72.8,74.8,1,1,4.001482974000055,0,,
79,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What country had the world's largest potash reserves in 2019?,Canada,Canada,canada,canada,1,0,3.8500508100000843,1,,
80,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many dollars did Callaway Golf spend on research and development in 2020?,46.3,46.3,46.3,46.3,1,1,4.0838481729999785,1,,
81,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Does the sum of smallest two bar is greater then the largest bar?,No,No,no,no,1,0,4.3096587919999365,0,,
82,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What did the majority of people respond with?,Yes,Yes,yes,yes,1,0,3.843164852999962,0,,
83,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What purpose was the third most popular?,Business and professional,Business and professional,business and professional,business and professional,1,0,3.9992486969999845,0,,
84,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the ratio of least and highest rates?,0.444444444,2.25,0.444444444,2.25,0,0,4.075676691000126,0,,
85,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the peak value of gross written premiums in Malta in 2018?,415,415,415,415,1,1,3.9539166130000467,1,,
86,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many metric tons of greenhouse gases did Dow Chemical emit in 2005?,47,47,47,47,1,1,3.961569354999938,1,,
87,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How many passenger cars were sold in Pakistan between July 2018 and June 2019?,207630,207630,207630,207630,1,1,4.360787691000041,1,,
88,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which year represents the highest expenditure?,2028,2028,2028,2028,1,1,4.019270873999858,0,,
89,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the combined growth rate for 1m-10m and 10m+?,28.6,28.6,28.6,28.6,1,1,4.270342724999864,0,,
90,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What percentage did Vanuatu's real GDP grow by in 2018?,2.9,2.9,2.9,2.9,1,1,4.05241335300002,1,,
91,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the percentage of U.S. adults who oppose more fracking?,53,53,53,53,1,1,2.022030174000065,0,,
92,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the most densely populated region of the world in 2018?,Asia,Asia,asia,asia,1,0,3.8811394159999963,1,,
93,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What's the value of the top rightmost bar?,7,13,7,13,0,0,2.123398547000079,0,,
94,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was the value of the Nashville Predators in dollars in 2020?,435,435,435,435,1,1,4.063860065999961,1,,
95,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the total percentage revenue share of the LVMH Group worldwide in 2020 from Asia and Japan?,41,41,41,41,1,1,4.123460279000028,0,,
96,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,In what year did the Sun have the highest reach among selected UK newspapers?,2013,2005,2013,2005,1,1,4.038553638999929,1,,
97,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Find the median value of all the bars?,0.68,0.68,0.68,0.68,1,1,4.510020691999898,0,,
98,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which year(s) had the greatest difference between the soft drink price and hot dog price?,"[2010/11, 2011/12, 2012/13]",2010/11,"[2010/11, 2011/12, 2012/13]",2010/11,1,1,4.223112839999885,0,,
99,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,How much money did Etsy invest in its advertising in 2016?,442.2,53.4,442.2,53.4,0,0,4.066957827000124,1,,
100,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which country recorded highest percentage in the chart ?,Tanzania,Tanzania,tanzania,tanzania,1,0,4.49103685,0,,
101,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which film genre is most popular in the United Kingdom as of October 2013?,Action/thriller,Action/thriller,action/thriller,action/thriller,1,0,4.061340991999941,0,,
102,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,Which device has the least traffic?,Tablet,Tablet,tablet,tablet,1,0,3.9410110540000005,0,,
103,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What was India's revenue from international tourism in 2010?,14.49,14.49,14.49,14.49,1,1,4.1452135979998275,1,,
104,phase1,phase1_qwen25vl_3b_chartqa_baseline,20260722_151850,HuggingFaceM4/ChartQA,Qwen/Qwen2.5-VL-3B-Instruct,,val,What is the average price of Japan coking coal import cif and Japan steam spot cif?,177.625,$177.63,177.625,$177.63,1,1,4.658676904000004,0,,
