index,phase,experiment_name,run_id,dataset_name,model_name,reasoner_model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,human_or_machine,error
10,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How man years does the graph represent?,11,20,11,20,0,0,0,
11,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the ratio(A:B) of the largest value and the rightmost value in WHO category?,0.084027778,1:2,0084027778,12,0,0,0,
12,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,"Find out , who is referred in blue?",620,Not identified,620,not identified,0,0,0,
13,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the difference between the first and last year's results?,2.95,122.84,295,12284,0,0,0,
14,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the difference of shares of Private motor insurers?,4,52%,4,52%,0,0,0,
15,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many pharmacists were there in Germany in 2018?,54493,54448,54493,54448,0,0,1,
16,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the sum of Lago di Bolsena and Lago di Bracciano ?,306,160,306,160,0,0,0,
17,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,"The value is 40.49, find the category?",Kidney cancer,Kidney cancer,kidney cancer,kidney cancer,1,0,0,
18,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What company had the highest percentage of smartphone device visits?,Telco,Telco,telco,telco,1,0,1,
19,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much money did nonprofit organizations report to the IRS in 2016?,2.62,2.62 0x0A>,262,262 0x0a>,0,1,1,
20,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the total Economic growth forecast after the COVID-19 outbreak in Denmark in 2020,2.5,1.5%,25,15%,0,0,0,
21,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the combined percentage of the business and professional and not specified purposes?,17,11%,17,11%,0,0,0,
22,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Is the median of green bars greater than the median of the blue bar?,No,yes,no,yes,0,0,0,
23,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was Debenhams revenue in the UK in the year ending September 1st 2018?,1832.7,1832.7,18327,18327,1,1,1,
24,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was Whistles turnover in 2016?,33,58.5,33,585,0,0,1,
25,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the lowest value of the light blue bar?,8,29,8,29,0,0,0,
26,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the sum of undernourished people in Low Income economies and Sub-Saharan Africa combined (in millions)?,341.9,69.8,3419,698,0,0,0,
27,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which state had the highest number of turkeys raised in 2018?,Minnesota,North Carolina,minnesota,north carolina,0,0,1,
28,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the total of Bad and Good in the Remain?,100,49,100,49,0,0,0,
29,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many response options are below 150 n mi?,2,24,2,24,0,0,0,
30,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the total add up value of japan and Colombia?,51.7,47.5,517,475,0,0,0,
31,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,"What is the average  of females value in the first five region,  from Yorkshire and the humber to south west?",9.8,8.4,98,84,0,0,0,
32,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Is the highest value of Myanmar greater than 30000?,Yes,30000,yes,30000,0,0,0,
33,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many global subscribers did World of Warcraft have in 2015?,5.5,5.5,55,55,1,1,1,
34,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,By how much is 2 persons higher than that of 1 person?,34960,88715,34960,88715,0,0,0,
35,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much did the sales of cat treats amount to in 2010?,0.45,3.55 | 2.41 | 0.46,045,355 | 241 | 046,0,0,1,
36,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many reals would come from the city government's budget?,42,70,42,70,0,0,1,
37,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was Nigeria's male population in 2019?,101.83,99.13,10183,9913,0,0,1,
38,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which colored segment occupies more than half the pie chart?,blue,Footwear,blue,footwear,0,0,0,
39,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Who says Good more to the question?,General public,general public,general public,general public,1,0,0,
40,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the average transaction value in grocers in prior weeks?,49,0x0A>,49,0x0a>,0,0,1,
41,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,"How much did accounts with 1,000 to 10,000 followers increase their followers on average?",12.6,14.6%,126,146%,0,0,1,
42,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,In what year did the turnover of the retail sale of leisure products increase to 6.7 billion British pounds?,2017,2018,2017,2018,0,0,1,
43,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What percentage of all underlying attributable profit for Banco Santander is attributed to South America?,42,42%,42,42%,0,1,1,
44,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much money was generated by sports equipment retailing in Austria in 2015?,1841.1,1841.1,18411,18411,1,1,1,
45,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What age group does the Red bar Show in the graph?,15-17 years,15-17 years,15-17 years,15-17 years,1,1,0,
46,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Who has hit the most home runs in Chicago White Sox franchise history?,Frank Thomas,Frank Thomas,frank thomas,frank thomas,1,0,1,
47,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which beer brand topped the beer production volume in Germany in 2016?,Krombacher,Beck's,krombacher,beck's,0,0,1,
48,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Who has the most hits in Detroit Tigers franchise history?,Ty Cobb,Ty Cobb,ty cobb,ty cobb,1,0,1,
49,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the difference between maximum number of Gucci stores operated in Emerging Countries over the years and minimum number of stores operated in Western Europe over the years?,123,117,123,117,0,0,0,
50,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many Instagram users were there in South Africa as of April 2021?,5.79,60651,579,60651,0,0,1,
51,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the value of middle bar ?,81.71,100.0,8171,1000,0,0,0,
52,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,When was the last fiscal year of ServiceMaster Global Holdings?,2014,2014,2014,2014,1,1,1,
53,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which country is represented by the blue color line?,Russia,Bosnia and Herzegovina,russia,bosnia and herzegovina,0,0,0,
54,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many children were adopted in Norway in 2019?,332,332,332,332,1,1,1,
55,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the maximum Yes opinion minus the mode of Don't know opinion,35,71,35,71,0,0,0,
56,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,In what year is the Middle East expected to become an LNG consumer?,2021,2020,2021,2020,0,0,1,
57,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,"In which year, the value of the red graph peaked?",2009,2008,2009,2008,0,0,0,
58,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which gender has the highest life expectancy?,female,male,female,male,0,0,0,
59,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much was Armani Junior's worldwide sales in 2008?,47.9,42,479,42,0,0,1,
60,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many number of golfers are there in 2016?,463952,463952,463952,463952,1,1,0,
61,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many people worked in China's travel and tourism industry in 2019?,29089,29089,29089,29089,1,1,1,
62,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which color represents Republican?,Red,63,red,63,0,0,0,
63,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,what is orange bar represents ?,Europe,news coverage of disasters,europe,news coverage of disasters,0,0,0,
64,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much British pounds worth of goods and services did the UK export to the EU in 2015?,225.5,225.5,2255,2255,1,1,1,
65,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the value of Very opinion in Aug 2016?,49,0,49,0,0,0,0,
66,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the previous year's EBITDA?,5.08,3.44,508,344,0,0,1,
67,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which region the females value shows 10.4 and males value as 3.8?,London,Yorkshire and the Humber,london,yorkshire and the humber,0,0,0,
68,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the percentage of households with Stand-alone air conditioning in Canada in 2015?,18,18%,18,18%,0,1,0,
69,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the average ticket price for Baltimore Ravens games in 2020?,110.53,110.53,11053,11053,1,1,1,
70,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is Google's market share in India?,95.45,95.45%,9545,9545%,0,1,1,
71,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the worldwide revenue of Canada Goose in the 2020 financial year?,958.1,958.1,9581,9581,1,1,1,
72,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the estimated market value of edible insects in 2018?,406.32,406.32,40632,40632,1,1,1,
73,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many dollars does Guatemala spend each year?,3.73,3.9 billion,373,39 billion,0,0,1,
74,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many Swedish kronor were intended expenses for Christmas in 2018?,5860,5050,5860,5050,0,0,1,
75,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the infant mortality rate in Bahrain in 2019?,5.9,5.9,59,59,1,1,1,
76,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much money did Universal spend on '1917'?,10.41,10.41,1041,1041,1,1,1,
77,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the sum of the people of Boomers and Generation X who have used this service?,22,83%,22,83%,0,0,0,
78,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,what is the sum of the high school  that have been bullied in lifetime Both male and female,72.8,34.1%,728,341%,0,0,0,
79,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What country had the world's largest potash reserves in 2019?,Canada,Canada,canada,canada,1,0,1,
80,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many dollars did Callaway Golf spend on research and development in 2020?,46.3,46.3,463,463,1,1,1,
81,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Does the sum of smallest two bar is greater then the largest bar?,No,yes,no,yes,0,0,0,
82,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What did the majority of people respond with?,Yes,No opinion,yes,no opinion,0,0,0,
83,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What purpose was the third most popular?,Business and professional,Not specified,business and professional,not specified,0,0,0,
84,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the ratio of least and highest rates?,0.444444444,2050,0444444444,2050,0,0,0,
85,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the peak value of gross written premiums in Malta in 2018?,415,415,415,415,1,1,1,
86,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many metric tons of greenhouse gases did Dow Chemical emit in 2005?,47,47,47,47,1,1,1,
87,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How many passenger cars were sold in Pakistan between July 2018 and June 2019?,207630,207630,207630,207630,1,1,1,
88,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which year represents the highest expenditure?,2028,2018,2028,2018,0,0,0,
89,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the combined growth rate for 1m-10m and 10m+?,28.6,14.6%,286,146%,0,0,0,
90,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What percentage did Vanuatu's real GDP grow by in 2018?,2.9,2.9%,29,29%,0,1,1,
91,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the percentage of U.S. adults who oppose more fracking?,53,53.0,53,530,0,1,0,
92,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the most densely populated region of the world in 2018?,Asia,Oceania,asia,oceania,0,0,1,
93,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the value of the top rightmost bar?,7,0,7,0,0,0,0,
94,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the value of the Nashville Predators in dollars in 2020?,435,435 0x0A>,435,435 0x0a>,0,1,1,
95,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the total percentage revenue share of the LVMH Group worldwide in 2020 from Asia and Japan?,41,34%,41,34%,0,0,0,
96,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,In what year did the Sun have the highest reach among selected UK newspapers?,2013,2007,2013,2007,0,0,1,
97,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Find the median value of all the bars?,0.68,0.14,068,014,0,0,0,
98,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which year(s) had the greatest difference between the soft drink price and hot dog price?,"[2010/11, 2011/12, 2012/13]",2015/16,[2010/11 2011/12 2012/13],2015/16,0,0,0,
99,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much money did Etsy invest in its advertising in 2016?,442.2,57.0,4422,570,0,0,1,
100,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which country recorded highest percentage in the chart ?,Tanzania,Tanzania,tanzania,tanzania,1,0,0,
101,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which film genre is most popular in the United Kingdom as of October 2013?,Action/thriller,Action/thriller,action/thriller,action/thriller,1,0,0,
102,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which device has the least traffic?,Tablet,Desktop,tablet,desktop,0,0,0,
103,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was India's revenue from international tourism in 2010?,14.49,14.49,1449,1449,1,1,1,
104,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the average price of Japan coking coal import cif and Japan steam spot cif?,177.625,229.12,177625,22912,0,0,0,
105,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What segment of the mobile data traffic in Serbia experienced a decrease in market share?,VIP,Telenor,vip,telenor,0,0,1,
106,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What percentage of online sales is expected to increase to by 2018?,0.7,99.3%,07,993%,0,0,1,
107,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,"Take the sum of the two smallest green bars, is it greater than the smallest blue bar?",No,yes,no,yes,0,0,0,
108,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which place shows the highest death rate?,Grenada,Grenada,grenada,grenada,1,0,0,
109,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What percentage of the Aosta Valley population had risky alcohol consumption?,23,23%,23,23%,0,1,1,
110,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which race has the highest value?,Blacks,Blacks,blacks,blacks,1,0,0,
111,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the largest growth segment for Revenue share between 2009 and 2020?,Outdoor/Fitness,Automotive/Mobile,outdoor/fitness,automotive/mobile,0,0,0,
112,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What was the second most popular fashion brand on Facebook in 2021?,Dior,Prada,dior,prada,0,0,1,
113,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What's the value of largest bar?,270827,18103,270827,18103,0,0,0,
114,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the average for the last 4 years?,19.79,20.7%,1979,207%,0,0,0,
115,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What percentage of global non-renewable energy reserves did conventional natural gas account for in 2018?,17.8,1.1%,178,11%,0,0,1,
116,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What is the average value of male and female reason?,46,42%,46,42%,0,0,0,
117,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,Which year does Czechia point?,1992,1992,1992,1992,1,1,0,
118,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much was eBay's net revenue in the most recent fiscal year?,9927,10271,9927,10271,0,0,1,
119,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,How much revenue did Napster generate in 2019?,106.3,105.3,1063,1053,0,0,1,
120,phase1,phase1_deplot_chartqa_table_reasoning_baseline,20260717_074619,HuggingFaceM4/ChartQA,google/deplot,google/flan-t5-base,val,What does Orange line represents?,Urban,rural,urban,rural,0,0,0,
